"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","10u","","Capacitor_SMD:C_0805_2012Metric","2",""
"D1,D2,D3,D4","D_Zener","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","4",""
"F1","Fuse","","Fuse:Fuse_1812_4532Metric","1",""
"J1","Conn_01x02","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J2","LOAD_OUT","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"NTC1,NTC2,NTC3,NTC4,R_feedback1,R_nrst1,R_nrst2","10K","","Resistor_SMD:R_0805_2012Metric","7",""
"Q1","IRF540N","http://www.irf.com/product-info/datasheets/data/irf540n.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"R_fb1","1.21K","","Resistor_SMD:R_0805_2012Metric","1",""
"R_fb2","3.3K","","Resistor_SMD:R_0805_2012Metric","1",""
"R_gate1","10","","Resistor_SMD:R_0805_2012Metric","1",""
"R_shunt1","0.01","","Resistor_SMD:R_0805_2012Metric","1",""
"U1","LM2596S-3.3","http://www.ti.com/lit/ds/symlink/lm2596.pdf","Package_TO_SOT_SMD:TO-263-5_TabPin3","1",""
"U2","STM32F103C4Tx","https://www.st.com/resource/en/datasheet/stm32f103c4.pdf","Package_QFP:LQFP-48_7x7mm_P0.5mm","1",""
"U3","ULN2003","http://www.ti.com/lit/ds/symlink/uln2003a.pdf","Package_DIP:DIP-16_W7.62mm","1",""
"U4","LM1117DT-3.3","http://www.ti.com/lit/ds/symlink/lm1117.pdf","Package_TO_SOT_SMD:TO-252-3_TabPin2","1",""
